jid_b026324c6904b2a9cb4b88d6d61c81d1, 'tag', ['Rd k1, Areg', 'Rd k1, Breg', 'Add Areg, Breg, Creg', 'St Creg, k1' ] 
jid_09dde48024ecb8e5135284b4888df3ea, 'tag', ['Rd k1, Areg', 'Rd k503, Breg', 'Add Areg, Breg, Creg', 'St Creg, k503' ] 
jid_059923134c975b4516bef2472669a57e, 'tag', ['Rd k1, Areg', 'Rd k504, Breg', 'Add Areg, Breg, Creg', 'St Creg, k504' ] 
jid_c7a6401e0ebed7a2b701e00eed33c1b9, 'tag', ['Rd k1, Areg', 'Rd k505, Breg', 'Add Areg, Breg, Creg', 'St Creg, k505' ] 
jid_c8baf20b4a03ea1b9a750ce7a15929a3, 'tag', ['Rd k1, Areg', 'Rd k506, Breg', 'Add Areg, Breg, Creg', 'St Creg, k506' ] 
jid_07a5f35ba9f70fb0dcbfd533cbb37ceb, 'tag', ['Rd k1, Areg', 'Rd k507, Breg', 'Add Areg, Breg, Creg', 'St Creg, k507' ] 
jid_6e1f135fa7b2942117bbe9104c685d5d, 'tag', ['Rd k1, Areg', 'Rd k508, Breg', 'Add Areg, Breg, Creg', 'St Creg, k508' ] 
jid_ee22bc22c97fa3fc6be08cd415b191e7, 'tag', ['Rd k1, Areg', 'Rd k509, Breg', 'Add Areg, Breg, Creg', 'St Creg, k509' ] 
jid_34f197d8964a207bf3fa4efdc82f4c5e, 'tag', ['Rd k1, Areg', 'Rd k510, Breg', 'Add Areg, Breg, Creg', 'St Creg, k510' ] 
jid_6ff4f4b3bdba7872a9d6dd9dc8d74ea0, 'tag', ['Rd k1, Areg', 'Rd k511, Breg', 'Add Areg, Breg, Creg', 'St Creg, k511' ] 
jid_a7c3db2a773cbebcd75598f8db1384f8, 'tag', ['Rd k1, Areg', 'Rd k512, Breg', 'Add Areg, Breg, Creg', 'St Creg, k512' ] 
jid_6ed76dce4ab6d70f0cd948770a28ebca, 'tag', ['Rd k1, Areg', 'Rd k513, Breg', 'Add Areg, Breg, Creg', 'St Creg, k513' ] 
jid_abdb4c506487142d1b65ef22d96b1872, 'tag', ['Rd k1, Areg', 'Rd k514, Breg', 'Add Areg, Breg, Creg', 'St Creg, k514' ] 
jid_237fcfe951f6930097c5e8e8dab03637, 'tag', ['Rd k1, Areg', 'Rd k515, Breg', 'Add Areg, Breg, Creg', 'St Creg, k515' ] 
jid_80e2e1289db3a88ea0e62199bf2959c6, 'tag', ['Rd k1, Areg', 'Rd k516, Breg', 'Add Areg, Breg, Creg', 'St Creg, k516' ] 
jid_f5297666923f53784d67bc7470fd78e5, 'tag', ['Rd k1, Areg', 'Rd k517, Breg', 'Add Areg, Breg, Creg', 'St Creg, k517' ] 
jid_720531aa55999f953e96a2c22a2e576b, 'tag', ['Rd k1, Areg', 'Rd k518, Breg', 'Add Areg, Breg, Creg', 'St Creg, k518' ] 
jid_f200540cb59a5c13751648fc19199e61, 'tag', ['Rd k1, Areg', 'Rd k519, Breg', 'Add Areg, Breg, Creg', 'St Creg, k519' ] 
jid_0c2ab77b7d4d85ed5dfeea273d82a89c, 'tag', ['Rd k1, Areg', 'Rd k520, Breg', 'Add Areg, Breg, Creg', 'St Creg, k520' ] 
jid_a68563d6b6003af4e6be1024a1c9ba99, 'tag', ['Rd k1, Areg', 'Rd k521, Breg', 'Add Areg, Breg, Creg', 'St Creg, k521' ] 
jid_cda65f05363cf980ca57647860dfa74f, 'tag', ['Rd k1, Areg', 'Rd k522, Breg', 'Add Areg, Breg, Creg', 'St Creg, k522' ] 
jid_2b0a6e50bcd88d489b16b5099276c827, 'tag', ['Rd k1, Areg', 'Rd k523, Breg', 'Add Areg, Breg, Creg', 'St Creg, k523' ] 
jid_f09e169d0f1d65c4fe85657e61b3ccc6, 'tag', ['Rd k1, Areg', 'Rd k524, Breg', 'Add Areg, Breg, Creg', 'St Creg, k524' ] 
jid_e62f59e0bc2a97f511ec10a6dad2f782, 'tag', ['Rd k1, Areg', 'Rd k525, Breg', 'Add Areg, Breg, Creg', 'St Creg, k525' ] 
jid_fcce7c17a7dba596f92366fe0730509a, 'tag', ['Rd k1, Areg', 'Rd k526, Breg', 'Add Areg, Breg, Creg', 'St Creg, k526' ] 
jid_fd971b2594286709b2e0281487269eee, 'tag', ['Rd k1, Areg', 'Rd k527, Breg', 'Add Areg, Breg, Creg', 'St Creg, k527' ] 
jid_9d41b3aff5a04acb9874ceaf2b7504a7, 'tag', ['Rd k1, Areg', 'Rd k528, Breg', 'Add Areg, Breg, Creg', 'St Creg, k528' ] 
jid_c607c5e6d13de3168bfdcd059e536039, 'tag', ['Rd k1, Areg', 'Rd k529, Breg', 'Add Areg, Breg, Creg', 'St Creg, k529' ] 
jid_1c27667da513cd3669651de44ff288d7, 'tag', ['Rd k1, Areg', 'Rd k530, Breg', 'Add Areg, Breg, Creg', 'St Creg, k530' ] 
jid_f9a9c28e578ab7fb107c8ff43a780a12, 'tag', ['Rd k1, Areg', 'Rd k531, Breg', 'Add Areg, Breg, Creg', 'St Creg, k531' ] 
jid_7c0955453382ea78f556b311771d2892, 'tag', ['Rd k1, Areg', 'Rd k532, Breg', 'Add Areg, Breg, Creg', 'St Creg, k532' ] 
jid_89b631f9b6db6d38396bd41e76f0b799, 'tag', ['Rd k1, Areg', 'Rd k533, Breg', 'Add Areg, Breg, Creg', 'St Creg, k533' ] 
jid_83ca68169041b02dc6abf22e2977bfcf, 'tag', ['Rd k1, Areg', 'Rd k534, Breg', 'Add Areg, Breg, Creg', 'St Creg, k534' ] 
jid_8c9aee83af6b231aa3f7f8c210704ee0, 'tag', ['Rd k1, Areg', 'Rd k535, Breg', 'Add Areg, Breg, Creg', 'St Creg, k535' ] 
jid_738ac6f162507f47d5b2ae67a86d0c4a, 'tag', ['Rd k1, Areg', 'Rd k536, Breg', 'Add Areg, Breg, Creg', 'St Creg, k536' ] 
jid_e44b725df96bf6b9ae28a215dec9f174, 'tag', ['Rd k1, Areg', 'Rd k537, Breg', 'Add Areg, Breg, Creg', 'St Creg, k537' ] 
jid_54e1429fa44b6abf3841e2376631a093, 'tag', ['Rd k1, Areg', 'Rd k538, Breg', 'Add Areg, Breg, Creg', 'St Creg, k538' ] 
jid_f03cb67863c182901bdb44ceedd330fe, 'tag', ['Rd k1, Areg', 'Rd k539, Breg', 'Add Areg, Breg, Creg', 'St Creg, k539' ] 
jid_8c2b89a5e8946eb7e9b104e498e8f0c4, 'tag', ['Rd k1, Areg', 'Rd k540, Breg', 'Add Areg, Breg, Creg', 'St Creg, k540' ] 
jid_f95b28f77ad82f6d8d9e9f3f5bc105a9, 'tag', ['Rd k1, Areg', 'Rd k541, Breg', 'Add Areg, Breg, Creg', 'St Creg, k541' ] 
jid_25598e795a552e826afa815debfdae63, 'tag', ['Rd k1, Areg', 'Rd k542, Breg', 'Add Areg, Breg, Creg', 'St Creg, k542' ] 
jid_412c8715ac4a42790f51cc1cb7697ba6, 'tag', ['Rd k1, Areg', 'Rd k543, Breg', 'Add Areg, Breg, Creg', 'St Creg, k543' ] 
jid_07616c9131df4c422a852ee1a2d01eb6, 'tag', ['Rd k1, Areg', 'Rd k544, Breg', 'Add Areg, Breg, Creg', 'St Creg, k544' ] 
jid_87f04abc798423ddc76b431715d9dc2a, 'tag', ['Rd k1, Areg', 'Rd k545, Breg', 'Add Areg, Breg, Creg', 'St Creg, k545' ] 
jid_b32a808aa0c2f6bd8fe0cf55cae64d8c, 'tag', ['Rd k1, Areg', 'Rd k546, Breg', 'Add Areg, Breg, Creg', 'St Creg, k546' ] 
jid_790690fac43cd284f13b61563d542b2a, 'tag', ['Rd k1, Areg', 'Rd k547, Breg', 'Add Areg, Breg, Creg', 'St Creg, k547' ] 
jid_65c6a9136d6a316849228dcb5580c17d, 'tag', ['Rd k1, Areg', 'Rd k548, Breg', 'Add Areg, Breg, Creg', 'St Creg, k548' ] 
jid_6b80c15e0b261eaae3a3061481a0d1ea, 'tag', ['Rd k1, Areg', 'Rd k549, Breg', 'Add Areg, Breg, Creg', 'St Creg, k549' ] 
jid_1898d02a1b2472652040ae59f3ab515e, 'tag', ['Rd k1, Areg', 'Rd k550, Breg', 'Add Areg, Breg, Creg', 'St Creg, k550' ] 
jid_38da69cb73ce035a5a8979cbbec793d5, 'tag', ['Rd k1, Areg', 'Rd k551, Breg', 'Add Areg, Breg, Creg', 'St Creg, k551' ] 
jid_aafa162273a8b011d32e694e06cfc704, 'tag', ['Rd k1, Areg', 'Rd k552, Breg', 'Add Areg, Breg, Creg', 'St Creg, k552' ] 
jid_b2fc6d5368c28be6f5e0e88680338e1c, 'tag', ['Rd k1, Areg', 'Rd k553, Breg', 'Add Areg, Breg, Creg', 'St Creg, k553' ] 
jid_88b126d3580dccfba13c64dcbd749191, 'tag', ['Rd k1, Areg', 'Rd k554, Breg', 'Add Areg, Breg, Creg', 'St Creg, k554' ] 
jid_41d9737bc75ae8fa57b7a84a44fba01c, 'tag', ['Rd k1, Areg', 'Rd k555, Breg', 'Add Areg, Breg, Creg', 'St Creg, k555' ] 
jid_7bd169bce6fdf4e9ecf4693d920d5c65, 'tag', ['Rd k1, Areg', 'Rd k556, Breg', 'Add Areg, Breg, Creg', 'St Creg, k556' ] 
jid_72578164838d8ca91eebd176ba188d53, 'tag', ['Rd k1, Areg', 'Rd k557, Breg', 'Add Areg, Breg, Creg', 'St Creg, k557' ] 
jid_5fa7b7f13a1e0a30b5022c2ca90813d4, 'tag', ['Rd k1, Areg', 'Rd k558, Breg', 'Add Areg, Breg, Creg', 'St Creg, k558' ] 
jid_000b64c5d808b7ae98718d6a191325b7, 'tag', ['Rd k1, Areg', 'Rd k559, Breg', 'Add Areg, Breg, Creg', 'St Creg, k559' ] 
jid_93c1029f9b6765de0c7147f2bbd2a3be, 'tag', ['Rd k1, Areg', 'Rd k560, Breg', 'Add Areg, Breg, Creg', 'St Creg, k560' ] 
jid_8348c75e7b5e029420ff802d7f88dce0, 'tag', ['Rd k1, Areg', 'Rd k561, Breg', 'Add Areg, Breg, Creg', 'St Creg, k561' ] 
jid_75d5eb7788ee78694ce9ccb737c098c4, 'tag', ['Rd k1, Areg', 'Rd k562, Breg', 'Add Areg, Breg, Creg', 'St Creg, k562' ] 
jid_a88691c15c13ad1a91082389328de315, 'tag', ['Rd k1, Areg', 'Rd k563, Breg', 'Add Areg, Breg, Creg', 'St Creg, k563' ] 
jid_539e03f8562fd7a8caadd279773d98d1, 'tag', ['Rd k1, Areg', 'Rd k564, Breg', 'Add Areg, Breg, Creg', 'St Creg, k564' ] 
jid_cf1c6a44e2768a4eff6c51c65d5e31be, 'tag', ['Rd k1, Areg', 'Rd k565, Breg', 'Add Areg, Breg, Creg', 'St Creg, k565' ] 
jid_292a5cd24c2b201ead30393929db996a, 'tag', ['Rd k1, Areg', 'Rd k566, Breg', 'Add Areg, Breg, Creg', 'St Creg, k566' ] 
jid_76deb11d8bcfbc1b018f7a57c93988eb, 'tag', ['Rd k1, Areg', 'Rd k567, Breg', 'Add Areg, Breg, Creg', 'St Creg, k567' ] 
jid_a7c62303a20d67a8c6273377508302f7, 'tag', ['Rd k1, Areg', 'Rd k568, Breg', 'Add Areg, Breg, Creg', 'St Creg, k568' ] 
jid_8ec4cdc38ba487eb111f9bb85137d32c, 'tag', ['Rd k1, Areg', 'Rd k569, Breg', 'Add Areg, Breg, Creg', 'St Creg, k569' ] 
jid_ac624fddfb7683a0830562b205a59f33, 'tag', ['Rd k1, Areg', 'Rd k570, Breg', 'Add Areg, Breg, Creg', 'St Creg, k570' ] 
jid_d5df73d42b4355343535abfacda23943, 'tag', ['Rd k1, Areg', 'Rd k571, Breg', 'Add Areg, Breg, Creg', 'St Creg, k571' ] 
jid_e85efa015935205744d867ffb983a089, 'tag', ['Rd k1, Areg', 'Rd k572, Breg', 'Add Areg, Breg, Creg', 'St Creg, k572' ] 
jid_d49fdcffd832cfbd27999cbd61d5089c, 'tag', ['Rd k1, Areg', 'Rd k573, Breg', 'Add Areg, Breg, Creg', 'St Creg, k573' ] 
jid_7b04f7f047077187254cc146c03aede6, 'tag', ['Rd k1, Areg', 'Rd k574, Breg', 'Add Areg, Breg, Creg', 'St Creg, k574' ] 
jid_a04b7c1c4d7df82e68c78948c6e9df93, 'tag', ['Rd k1, Areg', 'Rd k575, Breg', 'Add Areg, Breg, Creg', 'St Creg, k575' ] 
jid_0c42da9d05bad0fe0752a9db917beecb, 'tag', ['Rd k1, Areg', 'Rd k576, Breg', 'Add Areg, Breg, Creg', 'St Creg, k576' ] 
jid_1f6753a2a760c6f75f7073c21eb2d9ab, 'tag', ['Rd k1, Areg', 'Rd k577, Breg', 'Add Areg, Breg, Creg', 'St Creg, k577' ] 
jid_4ece9db278a058c95da01a2a6d6fd96f, 'tag', ['Rd k1, Areg', 'Rd k578, Breg', 'Add Areg, Breg, Creg', 'St Creg, k578' ] 
jid_e59f1d72ec23f6a01319096005163b1a, 'tag', ['Rd k1, Areg', 'Rd k579, Breg', 'Add Areg, Breg, Creg', 'St Creg, k579' ] 
jid_47121022c54277e84e54f4fc7c19e6ce, 'tag', ['Rd k1, Areg', 'Rd k580, Breg', 'Add Areg, Breg, Creg', 'St Creg, k580' ] 
jid_6470b76ec3928ef4ade5839b7b994735, 'tag', ['Rd k1, Areg', 'Rd k581, Breg', 'Add Areg, Breg, Creg', 'St Creg, k581' ] 
jid_79d8d9fc4bbfa5c69760a772c26656ed, 'tag', ['Rd k1, Areg', 'Rd k582, Breg', 'Add Areg, Breg, Creg', 'St Creg, k582' ] 
jid_eb23a5f79015a8b26ff1d100bc8332dd, 'tag', ['Rd k1, Areg', 'Rd k583, Breg', 'Add Areg, Breg, Creg', 'St Creg, k583' ] 
jid_eb69246aac54492dabc61ff91d6f6763, 'tag', ['Rd k1, Areg', 'Rd k584, Breg', 'Add Areg, Breg, Creg', 'St Creg, k584' ] 
jid_8bf16e282a6a74437e47e260dda7adb4, 'tag', ['Rd k1, Areg', 'Rd k585, Breg', 'Add Areg, Breg, Creg', 'St Creg, k585' ] 
jid_c5f3d3d8887e78ea276fd14b9b095bf4, 'tag', ['Rd k1, Areg', 'Rd k586, Breg', 'Add Areg, Breg, Creg', 'St Creg, k586' ] 
jid_4a15fba1f90be2b702703a7bb8f549e4, 'tag', ['Rd k1, Areg', 'Rd k587, Breg', 'Add Areg, Breg, Creg', 'St Creg, k587' ] 
jid_915a26407d02f409013ce73fc87f3fa7, 'tag', ['Rd k1, Areg', 'Rd k588, Breg', 'Add Areg, Breg, Creg', 'St Creg, k588' ] 
jid_48468fe1ea2edc6fe3158addd3a508e4, 'tag', ['Rd k1, Areg', 'Rd k589, Breg', 'Add Areg, Breg, Creg', 'St Creg, k589' ] 
jid_a80c642f897b284db79ab6e1f9473ef4, 'tag', ['Rd k1, Areg', 'Rd k590, Breg', 'Add Areg, Breg, Creg', 'St Creg, k590' ] 
jid_51a3e6363ced5427a6eb9524532ddc60, 'tag', ['Rd k1, Areg', 'Rd k591, Breg', 'Add Areg, Breg, Creg', 'St Creg, k591' ] 
jid_0b57e94daf130eb12797767aab327a3b, 'tag', ['Rd k1, Areg', 'Rd k592, Breg', 'Add Areg, Breg, Creg', 'St Creg, k592' ] 
jid_6b86d2acdd37fbb05937681890682763, 'tag', ['Rd k1, Areg', 'Rd k593, Breg', 'Add Areg, Breg, Creg', 'St Creg, k593' ] 
jid_41c85e9e1297f85bce6b6e563005f388, 'tag', ['Rd k1, Areg', 'Rd k594, Breg', 'Add Areg, Breg, Creg', 'St Creg, k594' ] 
jid_8c3353a1d563a3e4b4dcc7c72a59745b, 'tag', ['Rd k1, Areg', 'Rd k595, Breg', 'Add Areg, Breg, Creg', 'St Creg, k595' ] 
jid_ef552e4d871176327efeccaa6fcfdb59, 'tag', ['Rd k1, Areg', 'Rd k596, Breg', 'Add Areg, Breg, Creg', 'St Creg, k596' ] 
jid_207a378dc1f1efc1d85e3e54db806b11, 'tag', ['Rd k1, Areg', 'Rd k597, Breg', 'Add Areg, Breg, Creg', 'St Creg, k597' ] 
jid_13e9e7547496cd15440a4c0f2d31e6b6, 'tag', ['Rd k1, Areg', 'Rd k598, Breg', 'Add Areg, Breg, Creg', 'St Creg, k598' ] 
jid_948b26d55f36485a9f6c8928508c5891, 'tag', ['Rd k1, Areg', 'Rd k599, Breg', 'Add Areg, Breg, Creg', 'St Creg, k599' ] 
jid_412009a52065c979bb390cf7defec31c, 'tag', ['Rd k1, Areg', 'Rd k600, Breg', 'Add Areg, Breg, Creg', 'St Creg, k600' ] 
jid_85cfa0e968b07e0552125a3e4f5f4cad, 'tag', ['Rd k1, Areg', 'Rd k601, Breg', 'Add Areg, Breg, Creg', 'St Creg, k601' ] 
jid_90289a8125f94c370cd6e8423595c895, 'tag', ['Rd k1, Areg', 'Rd k602, Breg', 'Add Areg, Breg, Creg', 'St Creg, k602' ] 
jid_8d541efdbc7f715895dea7fae8db3989, 'tag', ['Rd k1, Areg', 'Rd k603, Breg', 'Add Areg, Breg, Creg', 'St Creg, k603' ] 
jid_333cce6b39b1656d70d2250c82397788, 'tag', ['Rd k1, Areg', 'Rd k604, Breg', 'Add Areg, Breg, Creg', 'St Creg, k604' ] 
jid_8f17a8fb2e86475f49b69e48ad524b12, 'tag', ['Rd k1, Areg', 'Rd k605, Breg', 'Add Areg, Breg, Creg', 'St Creg, k605' ] 
jid_bf25b4d299ce95f2080acc5d231378f4, 'tag', ['Rd k1, Areg', 'Rd k606, Breg', 'Add Areg, Breg, Creg', 'St Creg, k606' ] 
jid_7da043d3a1266b4758132618e90766c3, 'tag', ['Rd k1, Areg', 'Rd k607, Breg', 'Add Areg, Breg, Creg', 'St Creg, k607' ] 
jid_8897dd14d4652e43a18f84421b9c195e, 'tag', ['Rd k1, Areg', 'Rd k608, Breg', 'Add Areg, Breg, Creg', 'St Creg, k608' ] 
jid_e1e4e8005a7b1e118d58c5ed8cf2b253, 'tag', ['Rd k1, Areg', 'Rd k609, Breg', 'Add Areg, Breg, Creg', 'St Creg, k609' ] 
jid_d00b05c9ec3117a6ac15beb7128a8c7e, 'tag', ['Rd k1, Areg', 'Rd k610, Breg', 'Add Areg, Breg, Creg', 'St Creg, k610' ] 
jid_356a4482c3704c876bd65376e93a46fa, 'tag', ['Rd k1, Areg', 'Rd k611, Breg', 'Add Areg, Breg, Creg', 'St Creg, k611' ] 
jid_8be939d976856813bb4d84c2a69ec108, 'tag', ['Rd k1, Areg', 'Rd k612, Breg', 'Add Areg, Breg, Creg', 'St Creg, k612' ] 
jid_44d38bd685ac9def0a26ff2f2b3ce703, 'tag', ['Rd k1, Areg', 'Rd k613, Breg', 'Add Areg, Breg, Creg', 'St Creg, k613' ] 
jid_d901ba605694c84daa9cd1b6fe542076, 'tag', ['Rd k1, Areg', 'Rd k614, Breg', 'Add Areg, Breg, Creg', 'St Creg, k614' ] 
jid_88461375a87f3afe508321526600eec7, 'tag', ['Rd k1, Areg', 'Rd k615, Breg', 'Add Areg, Breg, Creg', 'St Creg, k615' ] 
jid_84bfbec335d49aaf9c67170acaff531c, 'tag', ['Rd k1, Areg', 'Rd k616, Breg', 'Add Areg, Breg, Creg', 'St Creg, k616' ] 
jid_f26ef64849dd75a99dd8da9bf903e624, 'tag', ['Rd k1, Areg', 'Rd k617, Breg', 'Add Areg, Breg, Creg', 'St Creg, k617' ] 
jid_56641e03bbff60a632cf85a8c725b32f, 'tag', ['Rd k1, Areg', 'Rd k618, Breg', 'Add Areg, Breg, Creg', 'St Creg, k618' ] 
jid_256757abc38e5d69c81ac0641933e29c, 'tag', ['Rd k1, Areg', 'Rd k619, Breg', 'Add Areg, Breg, Creg', 'St Creg, k619' ] 
jid_1c7890eeabcffd1650ef6cea6045f3b2, 'tag', ['Rd k1, Areg', 'Rd k620, Breg', 'Add Areg, Breg, Creg', 'St Creg, k620' ] 
jid_f26db5792fcffb1db9b8759f757c52bf, 'tag', ['Rd k1, Areg', 'Rd k621, Breg', 'Add Areg, Breg, Creg', 'St Creg, k621' ] 
jid_0ceb2849ad451eed282b0fabf11e8aad, 'tag', ['Rd k1, Areg', 'Rd k622, Breg', 'Add Areg, Breg, Creg', 'St Creg, k622' ] 
jid_fe7e98659a35e5d9e9747a718682682e, 'tag', ['Rd k1, Areg', 'Rd k623, Breg', 'Add Areg, Breg, Creg', 'St Creg, k623' ] 
jid_0c3341107be80104a6609cc5e1615f9f, 'tag', ['Rd k1, Areg', 'Rd k624, Breg', 'Add Areg, Breg, Creg', 'St Creg, k624' ] 
jid_80770582c370f0aad756fc966479866b, 'tag', ['Rd k1, Areg', 'Rd k625, Breg', 'Add Areg, Breg, Creg', 'St Creg, k625' ] 
jid_199f9b8c21306ce46db30f91f53d2e5a, 'tag', ['Rd k1, Areg', 'Rd k626, Breg', 'Add Areg, Breg, Creg', 'St Creg, k626' ] 
jid_1c36703687bdf063856b958dc655bf81, 'tag', ['Rd k1, Areg', 'Rd k627, Breg', 'Add Areg, Breg, Creg', 'St Creg, k627' ] 
jid_c4a68855d0d18315e45cf1973a7cc17f, 'tag', ['Rd k1, Areg', 'Rd k628, Breg', 'Add Areg, Breg, Creg', 'St Creg, k628' ] 
jid_ae329eb39f9cf5c04940a30aa2a8291a, 'tag', ['Rd k1, Areg', 'Rd k629, Breg', 'Add Areg, Breg, Creg', 'St Creg, k629' ] 
jid_f18d7dc7e0dcedffadd478df3c160a1b, 'tag', ['Rd k1, Areg', 'Rd k630, Breg', 'Add Areg, Breg, Creg', 'St Creg, k630' ] 
jid_01b2f7c1a89cfe5fe8c89fa0771f0fde, 'tag', ['Rd k1, Areg', 'Rd k631, Breg', 'Add Areg, Breg, Creg', 'St Creg, k631' ] 
jid_57b6f74efba9fe369669234ad986349d, 'tag', ['Rd k1, Areg', 'Rd k632, Breg', 'Add Areg, Breg, Creg', 'St Creg, k632' ] 
jid_673cc4f63ba234834796a0ad2430f80a, 'tag', ['Rd k1, Areg', 'Rd k633, Breg', 'Add Areg, Breg, Creg', 'St Creg, k633' ] 
jid_ec04a5943e05a0f8938a5a31e108c831, 'tag', ['Rd k1, Areg', 'Rd k634, Breg', 'Add Areg, Breg, Creg', 'St Creg, k634' ] 
jid_10e705db6a746b814e49b5ed13eb0cdd, 'tag', ['Rd k1, Areg', 'Rd k635, Breg', 'Add Areg, Breg, Creg', 'St Creg, k635' ] 
jid_138b156d53c577fd1620598c4a0d063a, 'tag', ['Rd k1, Areg', 'Rd k636, Breg', 'Add Areg, Breg, Creg', 'St Creg, k636' ] 
jid_a0219c662be6f06a49cffda43e847d6d, 'tag', ['Rd k1, Areg', 'Rd k637, Breg', 'Add Areg, Breg, Creg', 'St Creg, k637' ] 
jid_53f3259eee3deb00f648c7d3b17f19a7, 'tag', ['Rd k1, Areg', 'Rd k638, Breg', 'Add Areg, Breg, Creg', 'St Creg, k638' ] 
jid_5bf98d43a06a10812bd9a3f24e9194d2, 'tag', ['Rd k1, Areg', 'Rd k639, Breg', 'Add Areg, Breg, Creg', 'St Creg, k639' ] 
jid_80b9fb2efed682dcd51c2edbc4800796, 'tag', ['Rd k1, Areg', 'Rd k640, Breg', 'Add Areg, Breg, Creg', 'St Creg, k640' ] 
jid_d6f61f4eae19bbc2b5562c64cdbbaf7f, 'tag', ['Rd k1, Areg', 'Rd k641, Breg', 'Add Areg, Breg, Creg', 'St Creg, k641' ] 
jid_110f01c7586d4235e1db6db70f4f23ca, 'tag', ['Rd k1, Areg', 'Rd k642, Breg', 'Add Areg, Breg, Creg', 'St Creg, k642' ] 
jid_d0e33a01cf79b47cb8afdadb5814ce8b, 'tag', ['Rd k1, Areg', 'Rd k643, Breg', 'Add Areg, Breg, Creg', 'St Creg, k643' ] 
jid_1b5b392a5b518587e03b242ec94cc8ba, 'tag', ['Rd k1, Areg', 'Rd k644, Breg', 'Add Areg, Breg, Creg', 'St Creg, k644' ] 
jid_82bfc394c6cec94525fe51e47dcf1be5, 'tag', ['Rd k1, Areg', 'Rd k645, Breg', 'Add Areg, Breg, Creg', 'St Creg, k645' ] 
jid_187fb9cc2def6975b42a73c6250bd370, 'tag', ['Rd k1, Areg', 'Rd k646, Breg', 'Add Areg, Breg, Creg', 'St Creg, k646' ] 
jid_61fabfd67f6531550dd88a98ce705066, 'tag', ['Rd k1, Areg', 'Rd k647, Breg', 'Add Areg, Breg, Creg', 'St Creg, k647' ] 
jid_5e64a62cb3fc9bb8137bce3c3131713c, 'tag', ['Rd k1, Areg', 'Rd k648, Breg', 'Add Areg, Breg, Creg', 'St Creg, k648' ] 
jid_cec9d7cca94802718492bc7ae0c72c1f, 'tag', ['Rd k1, Areg', 'Rd k649, Breg', 'Add Areg, Breg, Creg', 'St Creg, k649' ] 
jid_b8fc361e90472cfbe4def59a818d3d66, 'tag', ['Rd k1, Areg', 'Rd k650, Breg', 'Add Areg, Breg, Creg', 'St Creg, k650' ] 
jid_60bf30120dba57004e927db15c238729, 'tag', ['Rd k1, Areg', 'Rd k651, Breg', 'Add Areg, Breg, Creg', 'St Creg, k651' ] 
jid_4c4b21ca86c3a2f4eaa38b73385a6bcf, 'tag', ['Rd k1, Areg', 'Rd k652, Breg', 'Add Areg, Breg, Creg', 'St Creg, k652' ] 
jid_befce534184171ed9a2990a02c8ebcf6, 'tag', ['Rd k1, Areg', 'Rd k653, Breg', 'Add Areg, Breg, Creg', 'St Creg, k653' ] 
jid_40b329ac816fc6e805042d3dcfe26dc4, 'tag', ['Rd k1, Areg', 'Rd k654, Breg', 'Add Areg, Breg, Creg', 'St Creg, k654' ] 
jid_1059bf4cc71d4602bdf7de003481ee60, 'tag', ['Rd k1, Areg', 'Rd k655, Breg', 'Add Areg, Breg, Creg', 'St Creg, k655' ] 
jid_8771c81bd3131e4780886f14a2c4301c, 'tag', ['Rd k1, Areg', 'Rd k656, Breg', 'Add Areg, Breg, Creg', 'St Creg, k656' ] 
jid_10acb03f24b5df50f22482fc620cc76c, 'tag', ['Rd k1, Areg', 'Rd k657, Breg', 'Add Areg, Breg, Creg', 'St Creg, k657' ] 
jid_27fe8caf8fb81437e8c7b05ddf8c81b3, 'tag', ['Rd k1, Areg', 'Rd k658, Breg', 'Add Areg, Breg, Creg', 'St Creg, k658' ] 
jid_daffbc67a0c7b0b74afebc0883d65e6f, 'tag', ['Rd k1, Areg', 'Rd k659, Breg', 'Add Areg, Breg, Creg', 'St Creg, k659' ] 
jid_eed2f25d81f3bcc10f374d11eb842f21, 'tag', ['Rd k1, Areg', 'Rd k660, Breg', 'Add Areg, Breg, Creg', 'St Creg, k660' ] 
jid_a8a4d4b00936f00edefd4f9cd0d4b62a, 'tag', ['Rd k1, Areg', 'Rd k661, Breg', 'Add Areg, Breg, Creg', 'St Creg, k661' ] 
jid_a84b040e84c50a60338d617d1666975f, 'tag', ['Rd k1, Areg', 'Rd k662, Breg', 'Add Areg, Breg, Creg', 'St Creg, k662' ] 
jid_e12b492700ca09cb5b1421957b712657, 'tag', ['Rd k1, Areg', 'Rd k663, Breg', 'Add Areg, Breg, Creg', 'St Creg, k663' ] 
jid_7baae577828441bc15f0e6c62004ec82, 'tag', ['Rd k1, Areg', 'Rd k664, Breg', 'Add Areg, Breg, Creg', 'St Creg, k664' ] 
jid_4f29f279c12b32d242dd60783bcc4598, 'tag', ['Rd k1, Areg', 'Rd k665, Breg', 'Add Areg, Breg, Creg', 'St Creg, k665' ] 
jid_971658bc2f5bdee5660844a83b5bf0a2, 'tag', ['Rd k1, Areg', 'Rd k666, Breg', 'Add Areg, Breg, Creg', 'St Creg, k666' ] 
jid_783ad45866e9a3ab1dba986b4cfad42f, 'tag', ['Rd k1, Areg', 'Rd k667, Breg', 'Add Areg, Breg, Creg', 'St Creg, k667' ] 
